,cluster,country,fertility,life_expect,pop,year,population,flag,YEAR,P10
188,3,Cuba,4.6805,65.246,7027210,1960,7027210,1,60,6.8467829321
189,3,Cuba,4.3,68.29,7809916,1965,7809916,1,65,6.8926463628
19,3,Argentina,2.63,73.275,35311049,95,35311049,1,95,7.5479106195
190,3,Cuba,3.6,70.723,8542746,1970,8542746,1,70,6.9315974938
191,3,Cuba,2.15,72.649,9290074,1975,9290074,1,75,6.9680191734
192,3,Cuba,1.8495,73.717,9652975,1980,9652975,1,80,6.9846611814
193,3,Cuba,1.8495,74.174,10078658,1985,10078658,1,85,7.0034027085
194,3,Cuba,1.6505,74.414,10544793,1990,10544793,1,90,7.0230380587
195,3,Cuba,1.6095,76.151,10896802,95,10896802,1,95,7.0372990596
196,3,Cuba,1.63,77.158,11134273,2000,11134273,1,0,7.0466618655
197,3,Cuba,1.49,78.273,11346670,2005,11346670,1,5,7.0548684243
198,3,Dominican Republic,7.6405,49.828,2737257,1955,2737257,1,55,6.4373155751
199,3,Dominican Republic,7.3505,53.459,3231488,1960,3231488,1,60,6.5094025475
2,0,Afghanistan,7.7,34.02,10997885,1965,10997885,1,65,7.0413091741
20,3,Argentina,2.35,74.34,37497728,2000,37497728,1,0,7.5740049545
200,3,Dominican Republic,6.6495,56.751,3805881,1965,3805881,1,65,6.5804552049
201,3,Dominican Republic,5.71,59.631,4422755,1970,4422755,1,70,6.6456928821
202,3,Dominican Republic,4.76,61.788,5048499,1975,5048499,1,75,6.7031622746
203,3,Dominican Republic,4.0,63.727,5696855,1980,5696855,1,80,6.7556351657
204,3,Dominican Republic,3.47,66.046,6377765,1985,6377765,1,85,6.8046685129
205,3,Dominican Republic,3.95,68.457,7077651,1990,7077651,1,90,6.8498891437
206,3,Dominican Republic,3.05,69.957,7730224,95,7730224,1,95,6.8881920787
207,3,Dominican Republic,2.95,70.847,8385828,2000,8385828,1,0,6.9235459504
208,3,Dominican Republic,2.81,72.235,9049595,2005,9049595,1,5,6.9566291435
209,3,Ecuador,6.7,51.356,3842399,1955,3842399,1,55,6.5846024606
21,3,Argentina,2.254,75.32,39537943,2005,39537943,1,5,7.597014071
210,3,Ecuador,6.7,54.64,4415956,1960,4415956,1,60,6.6450247375
211,3,Ecuador,6.5,56.678,5117779,1965,5117779,1,65,6.7090815279
212,3,Ecuador,6.0005,58.796,5939246,1970,5939246,1,70,6.7737313139
213,3,Ecuador,5.4005,61.31,6871698,1975,6871698,1,75,6.8370640647
214,3,Ecuador,4.7005,64.342,7920499,1980,7920499,1,80,6.8987525435
215,3,Ecuador,4.0,67.231,9061664,1985,9061664,1,85,6.9572079548
216,3,Ecuador,3.4005,69.613,10318036,1990,10318036,1,90,7.0135970388
217,3,Ecuador,3.1,72.312,11438004,95,11438004,1,95,7.0583502441
218,3,Ecuador,2.8175,74.173,12505204,2000,12505204,1,0,7.0970907809
219,3,Ecuador,2.578,74.994,13363593,2005,13363593,1,5,7.1259232403
22,3,Aruba,5.15,64.381,53865,1955,53865,1,55,4.7313066642
220,5,Egypt,6.97,44.444,23855527,1955,23855527,1,55,7.3775890151
221,5,Egypt,7.073,46.992,26846610,1960,26846610,1,60,7.4288894539
222,5,Egypt,6.56,49.293,30265148,1965,30265148,1,65,7.480942802
223,5,Egypt,5.855,51.137,33574026,1970,33574026,1,70,7.5260034224
224,5,Egypt,5.609,53.319,36952499,1975,36952499,1,75,7.5676438139
225,5,Egypt,5.332,56.006,42634215,1980,42634215,1,80,7.629758271
226,5,Egypt,4.833,59.797,50052381,1985,50052381,1,85,7.6994247418
227,5,Egypt,3.908,63.674,56694413,1990,56694413,1,90,7.7535402631
228,5,Egypt,3.5,67.217,63321615,95,63321615,1,95,7.8015519829
229,5,Egypt,3.174,69.806,70492342,2000,70492342,1,0,7.8481419396
23,3,Aruba,4.399,66.606,57203,1960,57203,1,60,4.7574188059
230,5,Egypt,2.891,71.338,77505756,2005,77505756,1,5,7.8893339568
231,3,El Salvador,6.8065,48.57,2221139,1955,2221139,1,55,6.3465757378
232,3,El Salvador,6.847,52.307,2581583,1960,2581583,1,60,6.4118860925
233,3,El Salvador,6.621,55.855,3017852,1965,3017852,1,65,6.4796979375
234,3,El Salvador,6.0995,58.207,3603907,1970,3603907,1,70,6.5567735753
235,3,El Salvador,5.5996,56.696,4071179,1975,4071179,1,75,6.6097201977
236,3,El Salvador,4.5,56.604,4566199,1980,4566199,1,80,6.6595548346
237,3,El Salvador,3.901,63.154,4664361,1985,4664361,1,85,6.6687921554
238,3,El Salvador,3.52,66.798,5099884,1990,5099884,1,90,6.7075602979
239,3,El Salvador,3.17,69.535,5568437,95,5568437,1,95,6.7457333105
24,3,Aruba,3.301,68.336,59020,1965,59020,1,65,4.7709992052
240,3,El Salvador,2.883,70.734,6122515,2000,6122515,1,0,6.7869298578
241,3,El Salvador,2.6825,71.878,6704932,2005,6704932,1,5,6.8263943777
242,1,Finland,2.769,67.49,4234900,1955,4234900,1,55,6.6268431597
243,1,Finland,2.66,68.75,4429600,1960,4429600,1,60,6.6463645105
244,1,Finland,2.191,69.83,4563732,1965,4563732,1,65,6.659320133
245,1,Finland,1.623,70.87,4606307,1970,4606307,1,70,6.6633528793
246,1,Finland,1.663,72.52,4711439,1975,4711439,1,75,6.6731535726
247,1,Finland,1.685,74.55,4779535,1980,4779535,1,80,6.6793856462
248,1,Finland,1.66,74.83,4901783,1985,4901783,1,85,6.6903540813
249,1,Finland,1.819,75.7,4986431,1990,4986431,1,90,6.6977898138
25,3,Aruba,2.651,70.941,59039,1970,59039,1,70,4.7711389928
250,1,Finland,1.743,77.13,5104654,95,5104654,1,95,6.7079663104
251,1,Finland,1.754,78.37,5168595,2000,5168595,1,0,6.7133725031
252,1,Finland,1.825,79.313,5223442,2005,5223442,1,5,6.7179567768
253,1,France,1.805,76.34,55171224,1985,55171224,1,85,7.7417126191
254,1,France,1.713,77.46,56735161,1990,56735161,1,90,7.7538522916
255,1,France,1.7624,78.64,58149727,95,58149727,1,95,7.7645476802
256,1,France,1.8833,79.59,59381628,2000,59381628,1,0,7.7736521
257,1,France,1.8916,80.657,60656178,2005,60656178,1,5,7.7828750416
258,1,Georgia,2.909,62.625,3827154,1955,3827154,1,55,6.5828759381
259,1,Georgia,2.979,64.644,4146570,1960,4146570,1,60,6.6176890013
26,3,Aruba,2.45,71.83,59390,1975,59390,1,75,4.7737133253
260,1,Georgia,2.611,66.654,4464959,1965,4464959,1,65,6.6498174753
261,1,Georgia,2.601,68.158,4694491,1970,4694491,1,70,6.6715885108
262,1,Georgia,2.39,69.634,4897656,1975,4897656,1,75,6.689988278
263,1,Georgia,2.269,69.638,5045697,1980,5045697,1,80,6.7029211671
264,1,Georgia,2.263,70.45,5192957,1985,5192957,1,85,6.7154147265
265,1,Georgia,1.95,70.465,5426207,1990,5426207,1,90,6.7344963573
266,1,Georgia,1.58,70.49,5012952,95,5012952,1,95,6.7000935462
267,1,Georgia,1.478,70.476,4777209,2000,4777209,1,0,6.6791742418
268,1,Georgia,1.407,70.987,4677401,2005,4677401,1,5,6.6700046042
269,1,Germany,2.3,69.1,70195612,1955,70195612,1,55,7.8463099648
27,3,Aruba,2.358,74.116,60266,1980,60266,1,80,4.7800723673
270,1,Germany,2.49,70.3,72480869,1960,72480869,1,60,7.8602233916
271,1,Germany,2.32,70.8,75638851,1965,75638851,1,65,7.878744923
272,1,Germany,1.64,71.0,77783164,1970,77783164,1,70,7.890885605
273,1,Germany,1.52,72.5,78682325,1975,78682325,1,75,7.8958771845
274,1,Germany,1.46,73.8,78297904,1980,78297904,1,80,7.8937501363
275,1,Germany,1.43,74.847,77684907,1985,77684907,1,85,7.8903366502
276,1,Germany,1.31,76.07,79380394,1990,79380394,1,90,7.8997132502
277,1,Germany,1.34,77.34,81653702,95,81653702,1,95,7.9119758795
278,1,Germany,1.346,78.67,82187909,2000,82187909,1,0,7.9148079314
279,1,Germany,1.36,79.406,82431390,2005,82431390,1,5,7.9160926232
28,3,Aruba,2.3,74.494,64129,1985,64129,1,85,4.8070544678
280,1,Greece,2.27,67.86,7965538,1955,7965538,1,55,6.9012151138
281,1,Greece,2.2,69.51,8327405,1960,8327405,1,60,6.9205096869
282,1,Greece,2.38,71.0,8550333,1965,8550333,1,65,6.931983029
283,1,Greece,2.32,72.34,8792806,1970,8792806,1,70,6.9441274912
284,1,Greece,2.32,73.68,9046542,1975,9046542,1,75,6.9564826038
285,1,Greece,1.96,75.24,9642505,1980,9642505,1,80,6.9841898727
286,1,Greece,1.53,76.67,9923253,1985,9923253,1,85,6.9966540641
287,1,Greece,1.37,77.03,10129603,1990,10129603,1,90,7.0055924248
288,1,Greece,1.296,77.869,10457554,95,10457554,1,95,7.0194301158
289,1,Greece,1.277,78.256,10559110,2000,10559110,1,0,7.0236273142
29,3,Aruba,2.28,74.108,66653,1990,66653,1,90,4.8238197014
290,1,Greece,1.325,79.483,10668354,2005,10668354,1,5,7.0280974181
291,3,Grenada,6.7,63.114,84621,1955,84621,1,55,4.9274781533
292,3,Grenada,6.4,63.608,90148,1960,90148,1,60,4.954956096
293,3,Grenada,4.8,64.091,93290,1965,93290,1,65,4.9698350931
294,3,Grenada,4.6,64.577,95410,1970,95410,1,70,4.9795938958
295,3,Grenada,4.3,65.035,95819,1975,95819,1,75,4.9814516341
296,3,Grenada,4.23,65.503,90164,1980,90164,1,80,4.9550331703
297,3,Grenada,4.14,66.002,92203,1985,92203,1,85,4.9647450519
298,3,Grenada,3.26,66.469,92360,1990,92360,1,90,4.9654839242
299,3,Grenada,2.814,66.986,90603,95,90603,1,95,4.9571425781
3,0,Afghanistan,7.7,36.088,12430623,1970,12430623,1,70,7.0944928952
30,3,Aruba,2.208,73.011,67836,95,67836,1,95,4.8314602315
300,3,Grenada,2.429,67.746,89312,2000,89312,1,0,4.9509098148
301,3,Grenada,2.302,68.724,89502,2005,89502,1,5,4.9518327401
302,3,Haiti,6.3,40.696,3376419,1955,3376419,1,55,6.5284563355
303,3,Haiti,6.3,43.59,3722743,1960,3722743,1,60,6.5708630557
304,3,Haiti,6.0,46.243,4137405,1965,4137405,1,65,6.616728035
305,3,Haiti,5.6005,48.042,4604915,1970,4604915,1,70,6.6632216182
306,3,Haiti,5.8,49.923,4828338,1975,4828338,1,75,6.6837976646
307,3,Haiti,6.2099,51.461,5029725,1980,5029725,1,80,6.7015442407
308,3,Haiti,5.69985,53.636,5517977,1985,5517977,1,85,6.7417798859
309,3,Haiti,5.14985,55.089,6126101,1990,6126101,1,90,6.7871841527
31,3,Aruba,2.124,73.451,69539,2000,69539,1,0,4.8422284411
310,3,Haiti,4.695,56.671,6675578,95,6675578,1,95,6.8244888747
311,3,Haiti,4.0,58.137,7306302,2000,7306302,1,0,6.8636976195
312,3,Haiti,3.5445,60.916,8121622,2005,8121622,1,5,6.9096427725
313,4,Hong Kong,4.72,64.75,2490400,1955,2490400,1,55,6.3962691077
314,4,Hong Kong,5.31,67.65,3075300,1960,3075300,1,60,6.4878874882
315,4,Hong Kong,4.02,70.0,3597900,1965,3597900,1,65,6.5560490884
316,4,Hong Kong,2.89,72.0,3959000,1970,3959000,1,70,6.5975855018
317,4,Hong Kong,2.32,73.6,4395800,1975,4395800,1,75,6.6430379247
318,4,Hong Kong,1.8,75.45,5063100,1980,5063100,1,80,6.7044165051
319,4,Hong Kong,1.31,76.2,5456200,1985,5456200,1,85,6.7368902812
32,3,Aruba,2.04,74.239,71566,2005,71566,1,5,4.8547067441
320,4,Hong Kong,1.288,77.601,5687959,1990,5687959,1,90,6.7549564572
321,4,Hong Kong,1.08,80.0,6225347,95,6225347,1,95,6.794163564
322,4,Hong Kong,0.94,81.495,6658720,2000,6658720,1,0,6.8233907531
323,4,Hong Kong,0.966,82.208,6898686,2005,6898686,1,5,6.8387663781
324,1,Iceland,4.023,73.47,158044,1955,158044,1,55,5.1987780129
325,1,Iceland,3.943,73.68,175860,1960,175860,1,60,5.2451670688
326,1,Iceland,3.154,73.73,192288,1965,192288,1,65,5.2839521823
327,1,Iceland,2.843,74.46,204104,1970,204104,1,70,5.309851516
328,1,Iceland,2.287,76.11,218031,1975,218031,1,75,5.3385182467
329,1,Iceland,2.248,76.99,228161,1980,228161,1,80,5.3582414116
33,4,Australia,3.406,70.33,9277087,1955,9277087,1,55,6.9674116294
330,1,Iceland,2.116,77.23,241403,1985,241403,1,85,5.3827426629
331,1,Iceland,2.194,78.77,254719,1990,254719,1,90,5.4060613411
332,1,Iceland,2.056,78.95,267527,95,267527,1,95,5.4273676195
333,1,Iceland,1.993,80.5,281043,2000,281043,1,0,5.4487727727
334,1,Iceland,2.052,81.757,296737,2005,296737,1,5,5.4723717017
335,0,India,5.8961,40.249,393000000,1955,393000000,1,55,8.5943925504
336,0,India,5.8216,43.605,434000000,1960,434000000,1,60,8.6374897295
337,0,India,5.6058,47.193,485000000,1965,485000000,1,65,8.6857417386
338,0,India,5.264,50.651,541000000,1970,541000000,1,70,8.7331972651
339,0,India,4.8888,54.208,607000000,1975,607000000,1,75,8.7831886911
34,4,Australia,3.274,70.93,10361273,1960,10361273,1,60,7.0154131167
340,0,India,4.4975,56.596,679000000,1980,679000000,1,80,8.8318697743
341,0,India,4.15,58.553,755000000,1985,755000000,1,85,8.8779469516
342,0,India,3.8648,60.223,839000000,1990,839000000,1,90,8.9237619608
343,0,India,3.4551,61.765,927000000,95,927000000,1,95,8.9670797341
344,0,India,3.1132,62.879,1007702000,2000,1007702000,1,0,9.0033321205
345,0,India,2.8073,64.698,1080264388,2005,1080264388,1,5,9.0335300594
346,4,Indonesia,5.672,39.918,86807000,1955,86807000,1,55,7.9385547475
347,4,Indonesia,5.62,42.518,95254000,1960,95254000,1,60,7.9788832221
348,4,Indonesia,5.568,45.964,105093000,1965,105093000,1,65,8.0215737896
349,4,Indonesia,5.3,49.203,116044000,1970,116044000,1,70,8.0646226904
35,4,Australia,2.871,71.1,11439384,1965,11439384,1,65,7.0584026387
350,4,Indonesia,4.73,52.702,130297000,1975,130297000,1,75,8.1149344165
351,4,Indonesia,4.109,56.159,146995000,1980,146995000,1,80,8.1673025626
352,4,Indonesia,3.4,60.137,163403000,1985,163403000,1,85,8.2132600257
353,4,Indonesia,2.9,62.681,178500000,1990,178500000,1,90,8.2516382204
354,4,Indonesia,2.55,66.041,194755000,95,194755000,1,95,8.2894886163
355,4,Indonesia,2.3761,68.588,206265000,2000,206265000,1,0,8.3144255411
356,4,Indonesia,2.182,70.65,218465000,2005,218465000,1,5,8.3393818691
357,5,Iran,7.0,47.181,18729000,1955,18729000,1,55,7.2725145897
358,5,Iran,7.0,49.325,21577000,1960,21577000,1,60,7.3339910616
359,5,Iran,6.8,52.469,25000000,1965,25000000,1,65,7.3979400087
36,4,Australia,2.535,71.93,12660160,1970,12660160,1,70,7.1024391944
360,5,Iran,6.4,55.234,28933000,1970,28933000,1,70,7.461393467
361,5,Iran,6.5,57.702,33379000,1975,33379000,1,75,7.5234733215
362,5,Iran,6.63,59.62,39583397,1980,39583397,1,80,7.5975130621
363,5,Iran,5.62,63.04,48439952,1985,48439952,1,85,7.6852037041
364,5,Iran,4.328,65.742,57035717,1990,57035717,1,90,7.7561469055
365,5,Iran,2.534,68.042,61628116,95,61628116,1,95,7.7897788914
366,5,Iran,2.124,69.451,65660289,2000,65660289,1,0,7.8173027899
367,5,Iran,2.04,70.964,68017860,2005,68017860,1,5,7.8326229639
368,5,Iraq,7.3,48.437,5903253,1955,5903253,1,55,6.7710913965
369,5,Iraq,7.25,51.457,6822030,1960,6822030,1,60,6.8339136249
37,4,Australia ,1.989,73.49,13771400,1975,13771400,1,75,7.1389780929
370,5,Iraq,7.2,54.459,7970746,1965,7970746,1,65,6.9014989699
371,5,Iraq,7.15,56.95,9413671,1970,9413671,1,70,6.973759016
372,5,Iraq,6.8,60.413,11117804,1975,11117804,1,75,7.0460190134
373,5,Iraq,6.35,62.038,13232839,1980,13232839,1,80,7.1216530286
374,5,Iraq,6.15,65.044,15693620,1985,15693620,1,85,7.1957231325
375,5,Iraq,5.7,59.461,18134702,1990,18134702,1,90,7.2585104234
376,5,Iraq,5.37,58.811,19557247,95,19557247,1,95,7.2913077208
377,5,Iraq,4.858,57.046,22675617,2000,22675617,1,0,7.355559113
378,5,Iraq,4.264,59.545,26074906,2005,26074906,1,5,7.4162227515
379,1,Ireland,3.68,68.9,2916133,1955,2916133,1,55,6.4648073276
38,4,Australia,1.907,74.74,14615900,1980,14615900,1,80,7.164825563
380,1,Ireland,3.979,70.29,2832000,1960,2832000,1,60,6.452093249
381,1,Ireland,3.873,71.08,2876000,1965,2876000,1,65,6.4587888817
382,1,Ireland,3.815,71.28,2950100,1970,2950100,1,70,6.4698367376
383,1,Ireland,3.478,72.03,3177300,1975,3177300,1,75,6.5020582228
384,1,Ireland,2.877,73.1,3401000,1980,3401000,1,80,6.5316066319
385,1,Ireland,2.287,74.36,3540000,1985,3540000,1,85,6.549003262
386,1,Ireland,1.969,75.467,3508200,1990,3508200,1,90,6.5450843442
387,1,Ireland,1.9,76.122,3613890,95,3613890,1,95,6.5579749293
388,1,Ireland,1.969,77.783,3791690,2000,3791690,1,0,6.5788328232
389,1,Ireland,1.964,78.885,4015676,2005,4015676,1,5,6.603758665
39,4,Australia,1.859,76.32,15788300,1985,15788300,1,85,7.19833537
390,5,Israel,3.893,67.84,1772032,1955,1772032,1,55,6.2484715603
391,5,Israel,3.852,69.39,2141495,1960,2141495,1,60,6.3307170647
392,5,Israel,3.79,70.75,2578184,1965,2578184,1,65,6.4113139089
393,5,Israel,3.77,71.63,2903434,1970,2903434,1,70,6.4629119582
394,5,Israel,3.409,73.06,3354242,1975,3354242,1,75,6.5255943926
395,5,Israel,3.125,74.45,3737473,1980,3737473,1,80,6.5725780639
396,5,Israel,3.051,75.6,4074965,1985,4074965,1,85,6.6101238829
397,5,Israel,2.933,76.93,4512068,1990,4512068,1,90,6.6543756361
398,5,Israel,2.942,78.269,5305120,95,5305120,1,95,6.7246952119
399,5,Israel,2.906,79.696,5842454,2000,5842454,1,0,6.7665953017
4,0,Afghanistan,7.7,38.438,14132019,1975,14132019,1,75,7.1502042127
40,4,Australia,1.86,77.56,17022133,1990,17022133,1,90,7.2310139795
400,5,Israel,2.75,80.745,6276883,2005,6276883,1,5,6.7977440336
401,1,Italy,2.35,67.81,48633000,1955,48633000,1,55,7.6869310605
402,1,Italy,2.498,69.24,50197600,1960,50197600,1,60,7.7006829536
403,1,Italy,2.493,71.06,51987100,1965,51987100,1,65,7.7158955918
404,1,Italy,2.325,72.19,53661100,1970,53661100,1,70,7.729659571
405,1,Italy,1.889,73.48,55571894,1975,55571894,1,75,7.7448551987
406,1,Italy,1.53,74.98,56451247,1980,56451247,1,80,7.7516735399
407,1,Italy,1.349,76.42,56731215,1985,56731215,1,85,7.7538220849
408,1,Italy,1.275,77.44,56742886,1990,56742886,1,90,7.7539114207
409,1,Italy,1.213,78.82,57274531,95,57274531,1,95,7.7579615416
41,4,Australia,1.776,78.83,18116171,95,18116171,1,95,7.2580664114
410,1,Italy,1.286,80.24,57719337,2000,57719337,1,0,7.7613213339
411,1,Italy,1.379,80.546,58103033,2005,58103033,1,5,7.7641988033
412,3,Jamaica,5.08,62.61,1488805,1955,1488805,1,55,6.1728378187
413,3,Jamaica,5.64,65.61,1631784,1960,1631784,1,60,6.2126626705
414,3,Jamaica,5.78,67.51,1777397,1965,1777397,1,65,6.2497844428
415,3,Jamaica,5.0,69.0,1943787,1970,1943787,1,70,6.2886486732
416,3,Jamaica,4.0,70.11,2104879,1975,2104879,1,75,6.3232271353
417,3,Jamaica,3.55,71.21,2228803,1980,2228803,1,80,6.3480716836
418,3,Jamaica,3.1,71.77,2318652,1985,2318652,1,85,6.3652355715
419,3,Jamaica,2.84,71.766,2347922,1990,2347922,1,90,6.3706836652
42,4,Australia,1.756,80.37,19164620,2000,19164620,1,0,7.2825002124
420,3,Jamaica,2.67,72.262,2469389,95,2469389,1,95,6.3925895092
